No.,Location of Anomaly,Confidence
208,31194,2.5312233288363517
209,83194,3.5457369714206344
210,105322,2.5756008447517695
211,70039,2.403560235025931
212,26306,2.631702417731181
213,126971,2.5351336318884607
214,40475,1.5284570686946917
215,299988,3.921064849704118
216,161254,3.463290083474222
217,40475,1.502955083390137
218,299932,2.7724043683161774
219,299832,2.66133394727259
220,251368,1.6504854368932038
221,298338,3.7183016253143206
222,74903,1.5001512982937713
223,82282,1.515300539326866
224,92908,1.7605241749247726
225,83397,1.066680425911798
226,123171,2.8513071100099703
227,29153,2.12797152044807
228,36229,1.9780679270299635
229,41689,1.5940709934544546
230,39157,1.5685175510341298
231,47597,1.573261061453036
232,57632,1.5624228091604841
233,79781,2.3371998565989793
234,96974,2.9052257719378143
235,75449,4.538337768677952
236,62972,3.9368452414603383
237,32637,2.592677714836075
238,51842,3.664870837325472
239,825480,1.9698660619270363
240,557252,1.5693720456974263
241,564943,1.5002991133657684
242,188138,3.493292732779297
243,170324,2.5331404456915223
244,191544,2.089970657669801
245,190162,2.09884366611423
246,211522,1.9977990604654141
247,107265,1.5881799136858343
248,2032,3.3620420528434822
249,5243,1.5561482654754215
250,8546,2.014019456799563
